1182.0	0
1518.0	1
1946.0	2
2389.0	3
2951.0	4
3681.0	5
4668.0	6
5615.0	7
6797.0	8
8229.0	9
9635.0	10
11412.0	11
13088.0	12
14539.0	13
14166.0	14
13404.0	15
7021.0	16
9295.0	17
11883.0	18
15073.0	19
18420.0	20
21269.0	21
23348.0	22
24877.0	23
24416.0	24
22907.0	25
20132.0	26
17008.0	27
13852.0	28
10677.0	29
7525.0	30
5281.0	31
1216.0	32
1441.0	33
1915.0	34
2306.0	35
2780.0	36
3640.0	37
4177.0	38
4963.0	39
6080.0	40
6948.0	41
8316.0	42
9612.0	43
10766.0	44
11659.0	45
11261.0	46
10142.0	47
6861.0	48
8955.0	49
11195.0	50
13543.0	51
15952.0	52
17987.0	53
19599.0	54
19993.0	55
19186.0	56
17593.0	57
15241.0	58
12698.0	59
10343.0	60
7763.0	61
5374.0	62
3395.0	63
