218.0	0
326.0	1
426.0	2
512.0	3
648.0	4
804.0	5
1005.0	6
1184.0	7
1422.0	8
1681.0	9
1999.0	10
2183.0	11
2412.0	12
2628.0	13
2481.0	14
2239.0	15
1048.0	16
1434.0	17
1859.0	18
2179.0	19
2780.0	20
3189.0	21
3613.0	22
3875.0	23
3925.0	24
3846.0	25
3546.0	26
3278.0	27
2625.0	28
2203.0	29
1458.0	30
1006.0	31
254.0	32
318.0	33
379.0	34
439.0	35
646.0	36
762.0	37
923.0	38
1094.0	39
1337.0	40
1600.0	41
1780.0	42
2085.0	43
2291.0	44
2525.0	45
2358.0	46
2119.0	47
1122.0	48
1432.0	49
1891.0	50
2379.0	51
2902.0	52
3407.0	53
3821.0	54
4037.0	55
4144.0	56
3910.0	57
3396.0	58
2960.0	59
2408.0	60
1906.0	61
1242.0	62
799.0	63
