664.917	!0
0	!1
0	!2
0	!3
0	!4
715.44	!5
647.6	!6
628.305	!7
688.574	!8
0	!9
0	!10
731.992	!11
638.316	!12
687.91	!13
704.825	!14
690.812	!15
601.659	!16
673.572	!17
602.232	!18
609.953	!19
702.332	!20
609.591	!21
0	!22
608.247	!23
612.954	!24
662.138	!25
613.036	!26
621.141	!27
513.777	!28
630.613	!29
591.867	!30
574.394	!31
562.892	!32
570.437	!33
0	!34
604.666	!35
590.514	!36
530.356	!37
526.043	!38
535.573	!39
0	!40
0	!41
0	!42
0	!43
0	!44
0	!45
0	!46
0	!47
581.697	!48
604.753	!49
590.816	!50
667.873	!51
579.43	!52
582.43	!53
553.23	!54
585.545	!55
569.536	!56
600.402	!57
540.513	!58
581.087	!59
602.009	!60
553.563	!61
652.418	!62
535.453	!63

