2633.19	!0
0	!1
0	!2
0	!3
0	!4
2700.06	!5
2289.14	!6
2326.86	!7
0	!8
0	!9
2542.99	!10
2828.33	!11
2304.86	!12
2511.2	!13
2487.72	!14
2481.72	!15
2023.53	!16
2414.45	!17
2097.53	!18
2063.6	!19
2192.31	!20
2105.34	!21
0	!22
2071.84	!23
2105.36	!24
2397.44	!25
2179.14	!26
2103.36	!27
2107.33	!28
2133.95	!29
1924.65	!30
1949.85	!31
2223.4	!32
2259.89	!33
0	!34
2541.49	!35
2282.04	!36
2117.91	!37
2025.51	!38
2102.36	!39
0	!40
0	!41
0	!42
0	!43
0	!44
0	!45
0	!46
0	!47
2212.12	!48
2327.48	!49
2268.7	!50
2644.79	!51
2239.92	!52
2259.98	!53
2126.22	!54
2240.96	!55
2234.09	!56
2370.37	!57
2144.82	!58
2088.09	!59
2286.26	!60
2216.49	!61
2578.57	!62
2215.44	!63

