-1819	4096	! 0
-3000	4096	! 1
-3000	4096	! 2
-3000	4096	! 3
-3000	4096	! 4
-1865	4096	! 5
-1888	4096	! 6
-1840	4096	! 7
-1812	4096	! 8
-3000	4096	! 9
-1866	4096	! 10
-1850	4096	! 11
-1890	4096	! 12
-1860	4096	! 13
-1814	4096	! 14
-1794	4096	! 15
-1854	4096	! 16
-1864	4096	! 17
-1882	4096	! 18
-1982	4096	! 19
-2030	4096	! 20
-2014	4096	! 21
-3000	4096	! 22
-1872	4096	! 23
-2156	4096	! 24
-1932	4096	! 25
-1840	4096	! 26
-1918	4096	! 27
-1862	4096	! 28
-1946	4096	! 29
-2148	4096	! 30
-3000	4096	! 31
-2114	4096	! 32
-2330	4096	! 33
-3000	4096	! 34
-2502	4096	! 35
-2169	4096	! 36
-2546	4096	! 37
-2307	4096	! 38
-2698	4096	! 39
-1225	4096	! 40
-4096	4096	! 41
-4096	4096	! 42
-4096	4096	! 43
-4096	4096	! 44
-4096	4096	! 45
-4096	4096	! 46
-4096	4096	! 47
-4096	4096	! 48
-4096	4096	! 49
-4096	4096	! 50
-4096	4096	! 51
-4096	4096	! 52
-4096	4096	! 53
-4096	4096	! 54
-1144	4096	! 55
-4096	4096	! 56
-4096	4096	! 57
-4096	4096	! 58
-4096	4096	! 59
-4096	4096	! 60
-4096	4096	! 61
-4096	4096	! 62
-4096	4096	! 63
-4096	4096	! 64
-4096	4096	! 65
-4096	4096	! 66
-4096	4096	! 67
-4096	4096	! 68
-4096	4096	! 69
-4096	4096	! 70
-4096	4096	! 71
-4096	4096	! 72
-4096	4096	! 73
-4096	4096	! 74
-4096	4096	! 75
-4096	4096	! 76
-4096	4096	! 77
-4096	4096	! 78
-4096	4096	! 79
-4096	4096	! 80
-4096	4096	! 81
-4096	4096	! 82
-4096	4096	! 83
-4096	4096	! 84
-4096	4096	! 85
-4096	4096	! 86
-4096	4096	! 87
-4096	4096	! 88
-4096	4096	! 89
-4096	4096	! 90
-4096	4096	! 91
-4096	4096	! 93
-4096	4096	! 94
-4096	4096	! 95

