676.944	!0
0	!1
0	!2
0	!3
0	!4
728.674	!5
658.954	!6
639.58	!7
701.107	!8
0	!9
0	!10
745.831	!11
649.085	!12
700.021	!13
716.933	!14
702.616	!15
611.308	!16
684.974	!17
612.357	!18
619.409	!19
712.681	!20
619.689	!21
0	!22
618.119	!23
622.832	!24
673.588	!25
624.833	!26
630.958	!27
524.604	!28
640.755	!29
600.678	!30
583.865	!31
573.741	!32
581.144	!33
0	!34
617.253	!35
601.477	!36
540.285	!37
535.721	!38
545.716	!39
0	!40
0	!41
0	!42
0	!43
0	!44
0	!45
0	!46
0	!47
592.049	!48
615.839	!49
601.865	!50
680.57	!51
590.002	!52
593.002	!53
563.438	!54
596.173	!55
580.248	!56
611.73	!57
550.729	!58
590.895	!59
612.93	!60
563.941	!61
664.762	!62
545.689	!63

