   0     66.05
   1      0.00
   2      0.00
   3      0.00
   4      0.00
   5     59.10
   6     71.21
   7     70.51
   8     63.38
   9      0.00
  10      0.00
  11     58.70
  12     73.22
  13     65.28
  14     65.02
  15     66.70
  16     81.43
  17     69.03
  18     78.02
  19     82.74
  20     74.59
  21     78.05
  22      0.00
  23     79.65
  24     80.25
  25     68.98
  26     78.01
  27     79.79
  28     75.17
  29     77.34
  30     85.60
  31     83.37
  32     74.13
  33     74.85
  34      0.00
  35     64.47
  36     72.95
  37     80.82
  38     80.58
  39     79.20
  40      0.00
  41      0.00
  42      0.00
  43      0.00
  44      0.00
  45      0.00
  46      0.00
  47      0.00
  48     76.89
  49     71.98
  50     72.45
  51     63.00
  52     75.53
  53     75.47
  54     78.41
  55     75.06
  56     76.34
  57     70.71
  58     78.60
  59     80.67
  60     72.99
  61     77.27
  62     64.79
  63     77.29
