553	0
4095	1
4095	2
4095	3
4095	4
590	5
543	6
514	7
560	8
4095	9
551	10
592	11
535	12
571	13
583	14
573	15
507	16
559	17
503	18
515	19
599	20
511	21
4095	22
511	23
515	24
547	25
515	26
524	27
414	28
528	29
503	30
480	31
458	32
463	33
4095	34
479	35
482	36
429	37
429	38
439	39
4095	40
4095	41
4095	42
4095	43
4095	44
4095	45
4095	46
4095	47
480	48
496	49
484	50
542	51
479	52
479	53
456	54
484	55
469	56
490	57
444	58
486	59
498	60
452	61
540	62
439	63
4095	64
4095	65
4095	66
4095	67
4095	68
4095	69
4095	70
4095	71
4095	72
4095	73
4095	74
4095	75
4095	76
4095	77
4095	78
4095	79

