1700	2500	!	0
1700	2500	!	1
1700	2500	!	2
1700	2500	!	3
1700	2500	!	4
1700	2500	!	5
1700	2500	!	6
1700	2500	!	7
1700	2500	!	8
1700	2500	!	9
1700	2500	!	10
1700	2500	!	11
1700	2500	!	12
1700	2500	!	13
1700	2500	!	14
1700	2500	!	15
1700	2500	!	16
1700	2500	!	17
1700	2500	!	18
1700	2500	!	19
1700	2500	!	20
1700	2500	!	21
1700	2500	!	22
1700	2500	!	23
1700	2500	!	24
1700	2500	!	25
1700	2500	!	26
1700	2500	!	27
1700	2500	!	28
1700	2500	!	29
1700	2500	!	30
1700	2500	!	31
1700	2500	!	32
1700	2500	!	33
1700	2500	!	34
1700	2500	!	35
1700	2500	!	36
1700	2500	!	37
1700	2500	!	38
1700	2500	!	39
1700	2500	!	40
1700	2500	!	41
1700	2500	!	42
1700	2500	!	43
1700	2500	!	44
1700	2500	!	45
1700	2500	!	46
1700	2500	!	47
1700	2500	!	48
1700	2500	!	49
1700	2500	!	50
1700	2500	!	51
1700	2500	!	52
1700	2500	!	53
1700	2500	!	54
1700	2500	!	55
1700	2500	!	56
1700	2500	!	57
1700	2500	!	58
1700	2500	!	59
1700	2500	!	60
1700	2500	!	61
1700	2500	!	62
1700	2500	!	63
1700	2500	!	64
1700	2500	!	65
1700	2500	!	66
1700	2500	!	67
1700	2500	!	68
1700	2500	!	69
1700	2500	!	70
1700	2500	!	71
1700	2500	!	72
1700	2500	!	73
1700	2500	!	74
1700	2500	!	75
1700	2500	!	76
1700	2500	!	77
1700	2500	!	78
1700	2500	!	79

