550.656	!0
0	!1
0	!2
0	!3
0	!4
595.155	!5
542.187	!6
521.199	!7
569.51	!8
0	!9
0	!10
600.998	!11
536.015	!12
572.855	!13
589.806	!14
578.683	!15
509.998	!16
565.246	!17
507.897	!18
520.126	!19
604.024	!20
513.653	!21
0	!22
514.456	!23
519.114	!24
553.368	!25
517.141	!26
526.604	!27
410.919	!28
534.264	!29
508.163	!30
484.419	!31
459.827	!32
468.714	!33
0	!34
485.088	!35
486.368	!36
436.03	!37
434.1	!38
440.313	!39
0	!40
0	!41
0	!42
0	!43
0	!44
0	!45
0	!46
0	!47
483.349	!48
499.435	!49
485.846	!50
547.246	!51
478.997	!52
481.997	!53
456.247	!54
484.574	!55
467.881	!56
492.781	!57
443.456	!58
487.909	!59
498.263	!60
454.975	!61
535.146	!62
438.202	!63

