 115.948	153.946
117.038	154.643
117.986	153.036
118.981	151.536
120.071	156.732
121.019	148.375
121.919	149.339
122.962	151.214
123.957	149.714
125.047	160.268
126.043	166.375
127.133	167.179
128.081	167.982
129.123	169.107
130.071	170.179
131.066	169.214
132.014	169.643
132.962	169.214
134.005	167.607
135.095	166.643
136.043	165.411
137.085	164.982
138.081	163.375
139.076	162.089
140.024	161.446
141.114	160.161
142.156	160.964
143.104	159.089
144.194	158.071
145.142	157.696
146.09	156.679
147.275	155.393
148.128	154.964
149.076	153.571
150.118	152.125
151.114	151.161
152.062	150.518
153.009	150.196
154.005	149.661
