682.958	!0
0	!1
0	!2
0	!3
0	!4
739.116	!5
664.133	!6
645.217	!7
707.373	!8
0	!9
0	!10
750.005	!11
654.469	!12
709.026	!13
722.986	!14
708.517	!15
616.132	!16
690.676	!17
617.419	!18
624.136	!19
717.855	!20
624.739	!21
0	!22
623.056	!23
628.337	!24
679.312	!25
628.177	!26
635.867	!27
530.017	!28
645.826	!29
605.266	!30
588.601	!31
579.165	!32
586.498	!33
0	!34
623.547	!35
606.959	!36
545.249	!37
538.776	!38
550.788	!39
0	!40
0	!41
0	!42
0	!43
0	!44
0	!45
0	!46
0	!47
597.226	!48
621.382	!49
607.39	!50
686.919	!51
595.288	!52
598.288	!53
568.543	!54
601.487	!55
583.164	!56
617.394	!57
555.837	!58
595.8	!59
618.39	!60
569.13	!61
670.935	!62
548.792	!63

