700	-1     ! 0
700	-1     ! 1
700	-1     ! 2
600	-1     ! 3
735	-1     ! 4
1000	-1     ! 5
660	-1     ! 6 
650	-1     ! 7
700	-1     ! 8
700	-1     ! 9
700	-1     ! 10
750	-1     ! 11
660	-1     ! 12
720	-1     ! 13
725	-1     ! 14
715	-1     ! 15
650	-1     ! 16
710	-1     ! 17
630	-1     ! 18
650 	-1     ! 19
730	-1     ! 20
650	-1     ! 21
4000	-1     ! 22
650	-1     ! 23
650	-1     ! 24
700	-1     ! 25
660	-1     ! 26
650	-1     ! 27
550	-1     ! 28
650	-1     ! 29
610	-1     ! 30
600	-1     ! 31
740	-1     ! 32
630	-1     ! 33
600	-1     ! 34
640	-1     ! 35
610	-1     ! 36
550	-1     ! 37
545	-1     ! 38 
545	-1     ! 39
500	-1     ! 40
500	-1     ! 41
5	 6     ! 42
500	-1     ! 43
500	-1     ! 44
500	-1     ! 45
500	-1     ! 46
500	-1     ! 47
650	-1     ! 48
630	-1     ! 49
625	-1     ! 50
715	-1     ! 51
604	-1     ! 52
625	-1     ! 53
590	-1     ! 54
610	-1     ! 55
600	-1     ! 56
620	-1     ! 57
570	-1     ! 58
605	-1     ! 59
620	-1     ! 60
580	-1     ! 61
685	-1     ! 62
581	-1     ! 63
4000	-1     ! 64
4000	-1     ! 65
4000	-1     ! 66
4000	-1     ! 67
4000	-1     ! 68
4000	-1     ! 69 
4000	-1     ! 70
4000	-1     ! 71
4000	-1     ! 72
4000	-1     ! 73
4000	-1     ! 74
4000	-1     ! 75
4000	-1     ! 76
4000	-1     ! 77
4000	-1     ! 78
4000	-1     ! 79
4000	-1     ! 80
4000	-1     ! 81
4000	-1     ! 82
4000	-1     ! 83
4000	-1     ! 84
4000	-1     ! 85
4000	-1     ! 86
4000	-1     ! 87
4000	-1     ! 88
4000	-1     ! 89
4000	-1     ! 90
4000	-1     ! 91
4000	-1     ! 92
4000	-1     ! 93
4000	-1     ! 94
4000	-1     ! 95
