2529.16	!0
0	!1
0	!2
0	!3
0	!4
2766.74	!5
2407.45	!6
2375.83	!7
2631.2	!8
0	!9
0	!10
2877.17	!11
2307.44	!12
2565.12	!13
2581.46	!14
2520.29	!15
2097.18	!16
2440.98	!17
2171.55	!18
2075.55	!19
2306.31	!20
2174.88	!21
0	!22
2138.52	!23
2144.03	!24
2436.81	!25
2177.63	!26
2142.81	!27
2191.98	!28
2202.62	!29
1957.58	!30
2042.42	!31
2244.48	!32
2230.12	!33
0	!34
2555.68	!35
2289.74	!36
2069.36	!37
2026.17	!38
2107.8	!39
0	!40
0	!41
0	!42
0	!43
0	!44
0	!45
0	!46
0	!47
2186.33	!48
2323.09	!49
2303.49	!50
2635.99	!51
2218.08	!52
2221.08	!53
2135.58	!54
2232.96	!55
2229.92	!56
2356.32	!57
2124.08	!58
2101.37	!59
2294.71	!60
2162.11	!61
2565.8	!62
2122.18	!63

