#Yield data from    IntOutput/238U_232Th_6.7_Lin
#Angle data from    angle_data/theta.dat
#---------------------------------------
0.00e+00  1.19e+03  0.00e+00  0.00e+00  
1.68e+02  1.00e+00  3.13e+00  0.00e+00  
1.66e+02  2.00e+00  3.35e+00  0.00e+00  
1.65e+02  1.00e+00  3.58e+00  0.00e+00  
1.63e+02  3.00e+00  3.81e+00  0.00e+00  
1.61e+02  4.67e+03  4.05e+00  0.00e+00  
1.59e+02  5.60e+01  4.38e+00  0.00e+00  
1.56e+02  4.37e+02  4.67e+00  0.00e+00  
1.54e+02  1.00e+00  4.98e+00  0.00e+00  
1.51e+02  1.00e+00  5.24e+00  0.00e+00  
1.48e+02  4.75e+03  5.57e+00  0.00e+00  
1.45e+02  1.52e+04  5.83e+00  0.00e+00  
1.42e+02  3.54e+02  6.20e+00  0.00e+00  
1.38e+02  6.93e+03  6.46e+00  0.00e+00  
1.35e+02  1.09e+04  6.86e+00  0.00e+00  
1.31e+02  7.63e+03  7.25e+00  0.00e+00  
0.00e+00  1.73e+02  0.00e+00  0.00e+00  
2.13e+01  3.36e+03  5.22e+00  0.00e+00  
2.44e+01  2.58e+02  5.61e+00  0.00e+00  
2.83e+01  3.73e+02  6.17e+00  0.00e+00  
3.26e+01  5.50e+02  6.77e+00  0.00e+00  
3.73e+01  7.02e+02  7.35e+00  0.00e+00  
4.24e+01  3.95e+04  7.96e+00  0.00e+00  
4.79e+01  9.69e+02  8.53e+00  0.00e+00  
5.37e+01  1.17e+03  9.05e+00  0.00e+00  
5.97e+01  3.82e+03  9.36e+00  0.00e+00  
6.57e+01  1.13e+03  9.57e+00  0.00e+00  
7.18e+01  9.62e+02  9.53e+00  0.00e+00  
7.77e+01  8.01e+02  9.36e+00  0.00e+00  
8.35e+01  7.18e+02  9.05e+00  0.00e+00  
8.96e+01  5.04e+02  8.76e+00  0.00e+00  
9.53e+01  2.79e+02  8.23e+00  0.00e+00  
0.00e+00  2.70e+01  0.00e+00  0.00e+00  
1.68e+02  3.30e+01  2.72e+00  0.00e+00  
1.67e+02  0.00e+00  2.99e+00  0.00e+00  
1.65e+02  2.17e+02  3.10e+00  0.00e+00  
1.63e+02  6.50e+01  3.31e+00  0.00e+00  
1.61e+02  7.10e+01  3.49e+00  0.00e+00  
1.59e+02  1.19e+02  3.76e+00  0.00e+00  
1.56e+02  1.55e+02  4.00e+00  0.00e+00  
1.54e+02  2.06e+02  4.24e+00  0.00e+00  
1.51e+02  1.72e+02  4.51e+00  0.00e+00  
1.48e+02  8.02e+06  4.76e+00  0.00e+00  
1.45e+02  2.84e+02  5.04e+00  0.00e+00  
1.42e+02  9.40e+01  5.31e+00  0.00e+00  
1.38e+02  4.52e+02  5.60e+00  0.00e+00  
1.35e+02  3.03e+02  5.94e+00  0.00e+00  
1.31e+02  0.00e+00  6.30e+00  0.00e+00  
1.13e+02  6.59e+03  3.23e+00  0.00e+00  
2.21e+01  9.68e+03  6.30e+00  0.00e+00  
2.51e+01  1.02e+04  6.68e+00  0.00e+00  
2.89e+01  2.86e+04  7.30e+00  0.00e+00  
3.31e+01  1.30e+04  7.95e+00  0.00e+00  
3.77e+01  1.43e+04  8.55e+00  0.00e+00  
4.27e+01  1.28e+04  9.13e+00  0.00e+00  
4.79e+01  1.50e+04  9.62e+00  0.00e+00  
5.34e+01  1.29e+04  9.94e+00  0.00e+00  
5.91e+01  1.42e+04  1.02e+01  0.00e+00  
6.50e+01  8.41e+03  1.03e+01  0.00e+00  
7.07e+01  8.88e+03  1.01e+01  0.00e+00  
7.66e+01  8.69e+03  9.77e+00  0.00e+00  
8.24e+01  4.44e+03  9.36e+00  0.00e+00  
8.84e+01  8.02e+03  8.93e+00  0.00e+00  
9.42e+01  1.60e+03  8.23e+00  0.00e+00  
